hardware_serial,Tag owner,Tuning,Tagged
70B3D5ADCFF1D024,Murray,Untuned,Tagged
70B3D5ADCFF23E8F,Murray,Untuned,Tagged
70B3D5ADCFF2820A,Murray,Untuned,Tagged
70B3D5ADCFF319CE,Murray,Untuned,Tagged
70B3D5ADCFF3F181,Murray,Untuned,Tagged
70B3D5ADCFF40A61,Murray,Untuned,Tagged
70B3D5ADCFF45F7C,Murray,Untuned,Tagged
70B3D5ADCFF4630D,Murray,Untuned,Tagged
70B3D5ADCFF62D85,Murray,Untuned,Tagged
70B3D5ADCFF6D9DB,Murray,Untuned,Tagged
70B3D5ADCFFBA45E,Murray,Untuned,Tagged
70B3D5ADCFFC0108,Murray,Untuned,Tagged
70B3D5ADCFFD52B4,Murray,Untuned,Tagged
70B3D5ADCFFE0635,Murray,Untuned,Tagged
70B3D5ADCFFE1C34,Murray,Untuned,Tagged
70B3D5ADCFFE3208,Murray,Untuned,Tagged
70B3D5ADCFFFDB03,Murray,Untuned,Tagged
70B3D5ADCFF4E3BB,Murray,Untuned MEL,Tagged
70B3D5ADCFFA9A81,Murray,Untuned MEL,Tagged
70B3D5ADCFFB22BA,Murray,Untuned MEL,Tagged
70B3D5ADCFFB4574,Murray,Untuned MEL,Tagged
70B3D5ADCFFB47FC,Murray,Untuned MEL,Tagged
70B3D5ADCFFB79AE,Murray,Untuned MEL,Tagged
70B3D5ADCFFC2902,Murray,Untuned MEL,Tagged
70B3D5ADCFFC95CE,Murray,Untuned MEL,Tagged
70B3D5ADCFFCA347,Murray,Untuned MEL,Tagged
70B3D5ADCFFCB88E,Murray,Untuned MEL,Tagged
70B3D5ADCFFCC8FA,Murray,Untuned MEL,Tagged
70B3D5ADCFFCD783,Murray,Untuned MEL,Tagged
70B3D5ADCFF12174,Murray,Untuned,Tagged
70B3D5ADCFF30694,Murray,Old?,Tagged
70B3D5ADCFF32A4F,Murray,Old?,Tagged
70B3D5ADCFF34471,Murray,Untuned,Tagged
70B3D5ADCFF60344,Murray,Untuned,Tagged
70B3D5ADCFFD31C0,Murray,Old?,Tagged
70B3D5ADCFFD0E4D,Murray,Untuned MEL,Tagged
70B3D5ADCFFD0DF9,Lindi,Tuned,Tagged
70B3D5ADCFF57532,Lindi,Tuned,Tagged
70B3D5ADCFF62CC4,Lindi,Tuned,Tagged
70B3D5ADCFF9FA58,Lindi,Tuned,Tagged
70B3D5ADCFF895F4,Lindi,Tuned,Tagged
70B3D5ADCFF2D3FA,Lindi,Tuned,Tagged
70B3D5ADCFF98B17,Lindi,Tuned,Tagged
70B3D5ADCFFDAFCD,Lindi,Tuned,Tagged
70B3D5ADCFFBF729,Lindi,Tuned,Tagged
70B3D5ADCFFE678C,Lindi,Tuned,Tagged
70B3D5ADCFF1F41A,Lindi,Untuned,Tagged
70B3D5ADCFFE6348,Lindi,Untuned,Tagged
70B3D5ADCFFCD70D,Lindi,Untuned,Tagged
70B3D5ADCFF6C778,Lindi,Untuned,Tagged
70B3D5ADCFF549A6,Lindi,Untuned,Tagged
70B3D5ADCFFB2213,Lindi,Untuned,Tagged
70B3D5ADCFF2677F,Lindi,Untuned,Tagged
70B3D5ADCFFA2322,Lindi,Untuned,Tagged
70B3D5ADCFFD96E2,Lindi,Untuned,Tagged
70B3D5ADCFFE8428,Lindi,Untuned,Tagged
70B3D5ADCFF68612,Phill Coe,Tuned,Not tagged
70B3D5ADCFFD5454,Phill Coe,Tuned,Not tagged
70B3D5ADCFF970F4,Phill Coe,Tuned,Tagged
70B3D5ADCFFB0133,Phill Coe,Tuned,Tagged
70B3D5ADCFF4BB53,Phill Coe,Tuned,Tagged
70B3D5ADCFFDDEB4,Phill Coe,Tuned,Tagged
70B3D5ADCFFDFAE5,Phill Coe,Tuned,Tagged
70B3D5ADCFFB9CE4,Phill Coe,Tuned,Tagged
70B3D5ADCFF87244,Phill Coe,Tuned,Not tagged
70B3D5ADCFFE19B5,Phill Coe,Tuned,Tagged
70B3D5ADCFF4CAE1,Phill Coe,Tuned,Tagged
70B3D5ADCFF913A7,Phill Coe,Tuned,Tagged
70B3D5ADCFFD5E24,Phill Coe,Tuned,Not tagged
70B3D5ADCFF61E4D,Phill Coe,Tuned,Tagged
70B3D5ADCFFBED55,Phill Coe,Tuned,Not tagged
70B3D5ADCFF92AEC,Phill Coe,Tuned,Not tagged
70B3D5ADCFF97796,Phill Coe,Tuned,Tagged
70B3D5ADCFF21AD4,Phill Coe,Tuned,Not tagged
70B3D5ADCFF43A4B,Phill Coe,Tuned,Tagged
70B3D5ADCFF0A37F,Phill Coe,Tuned,Tagged
70B3D5ADCFF9845E,Phill Coe,Tuned,Tagged
70B3D5ADCFFFCD17,Phill Coe,Tuned,Tagged
70B3D5ADCFFACBCD,Phill Coe,Tuned,Tagged
70B3D5ADCFFCA980,Phill Coe,Tuned,Tagged
70B3D5ADCFF92AD3,Phill Coe,Tuned,Tagged
70B3D5ADCFFFE0B3,Phill Coe,Tuned,Tagged
70B3D5ADCFFDBBA0,Phill Coe,Tuned,Tagged
70B3D5ADCFFF7139,Phill Coe,Tuned,Tagged
70B3D5ADCFFEE819,Phill Coe,Tuned,Tagged
70B3D5ADCFF81E31,Phill Coe,Tuned,Not tagged
70B3D5ADCFF0D95E,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFFD70A2,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFFEA6A0,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFF02343,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFF1CB94,Glenn Alexander,Untuned,Tagged
70B3D5ADCFF193C8,Glenn Alexander,Untuned,Tagged
70B3D5ADCFFBFC2F,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFF0B013,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFF0D78A,Glenn Alexander,Untuned,Tagged
70B3D5ADCFFA4808,Glenn Alexander,Untuned,Tagged
70B3D5ADCFFED7A2,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFF1F565,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFFACEDC,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFF52E9D,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFF357A0,Glenn Alexander,Untuned,Tagged
70B3D5ADCFF0CB12,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFF62721,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFFDD8C1,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFFA9C6A,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFFF0A8F,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFF0BE39,Glenn Alexander,Untuned,Not tagged
70B3D5ADCFFC78E6,Glenn Alexander,Tuned,Not tagged
70B3D5ADCFF70785,Glenn Alexander,Tuned,Not tagged
70B3D5ADCFF1DE5B,Glenn Alexander,Tuned,Not tagged
70B3D5ADCFF25F26,Glenn Alexander,Tuned,Not tagged
70B3D5ADCFFB6AF3,Glenn Alexander,Tuned,Not tagged
70B3D5ADCFFD4193,Glenn Alexander,Tuned,Not tagged
70B3D5ADCFF7D619,Glenn Alexander,Tuned,Not tagged
70B3D5ADCFF993A4,Glenn Alexander,Tuned,Not tagged
70B3D5ADCFFDDB8B,Glenn Alexander,Tuned,Not tagged
70B3D5ADCFFD22DB,Glenn Alexander,Tuned,Not tagged
70B3D5ADCFF50645,Montana,Tuned,Not tagged
70B3D5ADCFF2C3A7,Montana,Tuned,Not tagged
70B3D5ADCFF3C0AB,Montana,Tuned,Not tagged
70B3D5ADCFFA8AF1,Montana,Tuned,Not tagged
70B3D5ADCFF6F8C7,Montana,Tuned,Not tagged
70B3D5ADCFF4F32C,Montana,Tuned,Not tagged
70B3D5ADCFF0E0E0,Montana,Tuned,Not tagged
70B3D5ADCFFDD99D,Montana,Tuned,Not tagged
70B3D5ADCFFEF4FE,Montana,Tuned,Not tagged
70B3D5ADCFF1009C,Montana,Tuned,Not tagged
70B3D5ADCFF2341B,Montana,Tuned,Not tagged
70B3D5ADCFF3D37D,Montana,Tuned,Not tagged
70B3D5ADCFF018E1,Montana,Tuned,Not tagged
70B3D5ADCFFC687E,Montana,Tuned,Not tagged
70B3D5ADCFF28EE7,Montana,Tuned,Not tagged
70B3D5ADCFF04C96,Montana,Tuned,Not tagged
70B3D5ADCFFAFBED,Montana,Tuned,Not tagged
70B3D5ADCFF950F2,Montana,Tuned,Not tagged
70B3D5ADCFF71270,Montana,Tuned,Not tagged
70B3D5ADCFFB097B,Montana,Tuned,Not tagged
70B3D5ADCFF64C51,Montana,Tuned,Not tagged
70B3D5ADCFF0E8FA,Montana,Tuned,Not tagged
70B3D5ADCFFBA98A,Montana,Tuned,Not tagged
70B3D5ADCFF2A177,Montana,Tuned,Not tagged
70B3D5ADCFFFC34E,Montana,Tuned,Not tagged
70B3D5ADCFFF904E,Montana,Tuned,Not tagged
70B3D5ADCFF24F30,Montana,Tuned,Not tagged
70B3D5ADCFF2B31A,Montana,Tuned,Not tagged
70B3D5ADCFF1C154,Montana,Tuned,Not tagged
70B3D5ADCFF8728C,Montana,Tuned,Not tagged
70B3D5ADCFFCEDF3,Montana,Tuned,Not tagged
70B3D5ADCFF29FD1,Montana,Tuned,Not tagged
70B3D5ADCFF748B1,Montana,Tuned,Not tagged
70B3D5ADCFF18254,Montana,Tuned,Not tagged
70B3D5ADCFF6483D,Montana,Tuned,Not tagged
70B3D5ADCFF32D14,Montana,Tuned,Not tagged
70B3D5ADCFF5368C,Montana,Tuned,Not tagged
70B3D5ADCFFF9B0E,Montana,Tuned,Not tagged
70B3D5ADCFF19289,Montana,Tuned,Not tagged
70B3D5ADCFF0848A,Montana,Tuned,Not tagged
70B3D5ADCFFDC04A,Montana,Tuned,Not tagged
70B3D5ADCFF34E83,Montana,Tuned,Not tagged
70B3D5ADCFF05972,Montana,Tuned,Not tagged
70B3D5ADCFFEF012,Montana,Tuned,Not tagged
70B3D5ADCFFC612E,Montana,Tuned,Not tagged
70B3D5ADCFF8CE1C,Montana,Tuned,Not tagged
70B3D5ADCFF78ACE,Montana,Tuned,Not tagged
70B3D5ADCFF0F4F6,Montana,Tuned,Not tagged
70B3D5ADCFFE8436,Montana,Tuned,Not tagged
70B3D5ADCFF90334,Montana,Tuned,Not tagged
70B3D5ADCFFE6FD8,Montana,Tuned,Not tagged
70B3D5ADCFF91BE1,Montana,Tuned,Not tagged
70B3D5ADCFF2B76D,Montana,Tuned,Not tagged
70B3D5ADCFF8395F,Montana,Tuned,Not tagged
70B3D5ADCFF0BDAB,Montana,Tuned,Not tagged
70B3D5ADCFF651D2,Montana,Tuned,Not tagged
70B3D5ADCFFE0AA5,Montana,Tuned,Not tagged
70B3D5ADCFFA74E2,Montana,Tuned,Not tagged
70B3D5ADCFF3C937,Montana,Tuned,Not tagged
70B3D5ADCFF0AFA1,Montana,Tuned,Not tagged
70B3D5ADCFF70D23,Montana,Tuned,Not tagged
70B3D5ADCFF290D7,Montana,Tuned,Not tagged
70B3D5ADCFFE98F5,Montana,Tuned,Not tagged
70B3D5ADCFF36678,Montana,Tuned,Not tagged
70B3D5ADCFF0A266,Montana,Tuned,Not tagged
70B3D5ADCFF578EA,Montana,Tuned,Not tagged
70B3D5ADCFF37FCA,Montana,Tuned,Not tagged
70B3D5ADCFF3E1E2,Montana,Tuned,Not tagged
70B3D5ADCFFAECCC,Montana,Tuned,Not tagged
70B3D5ADCFF82790,Montana,Tuned,Not tagged
70B3D5ADCFF3592E,Montana,Tuned,Not tagged
70B3D5ADCFF9E05B,Montana,Tuned,Not tagged
70B3D5ADCFF2F35E,Montana,Tuned,Not tagged
70B3D5ADCFFECA06,Montana,Tuned,Not tagged
70B3D5ADCFFD6CFB,Montana,Tuned,Not tagged
70B3D5ADCFF6CAC5,Montana,Tuned,Not tagged
70B3D5ADCFF48360,Montana,Tuned,Not tagged
70B3D5ADCFFF9B11,Montana,Tuned,Not tagged
70B3D5ADCFFA0564,Montana,Tuned,Not tagged
70B3D5ADCFFD65B0,Montana,Tuned,Not tagged
70B3D5ADCFF45F65,Montana,Tuned,Not tagged
70B3D5ADCFF677A8,Montana,Tuned,Not tagged
70B3D5ADCFF9F821,Montana,Tuned,Not tagged
70B3D5ADCFF72885,Montana,Tuned,Not tagged
70B3D5ADCFF42921,Montana,Tuned,Not tagged
70B3D5ADCFF047E3,Montana,Tuned,Not tagged
70B3D5ADCFF08E36,Montana,Tuned,Not tagged
70B3D5ADCFF6351B,Montana,Tuned,Not tagged
70B3D5ADCFF311DE,Montana,Tuned,Not tagged
70B3D5ADCFF9556B,Montana,Tuned,Not tagged
70B3D5ADCFFDBCA4,Montana,Tuned,Not tagged
70B3D5ADCFF03E45,Montana,Tuned,Not tagged
70B3D5ADCFFBAD8D,Montana,Tuned,Not tagged
70B3D5ADCFF6EF68,Montana,Tuned,Not tagged
70B3D5ADCFF6D2A3,Montana,Tuned,Not tagged
70B3D5ADCFF67FDF,Montana,Tuned,Not tagged
70B3D5ADCFFB418A,Montana,Tuned,Not tagged
70B3D5ADCFFE41D0,Montana,Tuned,Not tagged
70B3D5ADCFFB19DA,Montana,Tuned,Not tagged
70B3D5ADCFFB6A9A,Montana,Tuned,Not tagged
70B3D5ADCFFB4BFE,Montana,Tuned,Not tagged
70B3D5ADCFFDDAD2,Montana,Tuned,Not tagged
70B3D5ADCFFE9A13,Montana,Tuned,Not tagged
70B3D5ADCFF2C33D,Montana,Tuned,Not tagged
70B3D5ADCFF25488,Montana,Tuned,Not tagged
70B3D5ADCFF02E97,Montana,Tuned,Not tagged
70B3D5ADCFF0BC68,Montana,Tuned,Not tagged
70B3D5ADCFF3AEBD,Montana,Tuned,Not tagged
70B3D5ADCFF12866,Montana,Tuned,Not tagged
70B3D5ADCFFB37D6,Montana,Tuned,Not tagged
70B3D5ADCFF93D53,Montana,Tuned,Not tagged
70B3D5ADCFF152C2,Montana,Tuned,Not tagged
70B3D5ADCFFF8139,Montana,Tuned,Not tagged
70B3D5ADCFF3FA83,Montana,Tuned,Not tagged
70B3D5ADCFF2F5F7,Montana,Tuned,Not tagged
70B3D5ADCFF47DB3,Montana,Tuned,Not tagged
70B3D5ADCFF53968,Montana,Tuned,Not tagged
70B3D5ADCFFBFF76,Montana,Tuned,Not tagged
70B3D5ADCFF666F5,Montana,Tuned,Not tagged
70B3D5ADCFFDEFF7,Montana,Tuned,Not tagged
70B3D5ADCFF038C1,Montana,Tuned,Not tagged
70B3D5ADCFFC3371,Montana,Tuned,Not tagged
70B3D5ADCFFBC1FA,Montana,Tuned,Not tagged
70B3D5ADCFFF7546,Montana,Tuned,Not tagged
70B3D5ADCFF16DAA,Montana,Tuned,Not tagged
70B3D5ADCFF4A0D4,Montana,Tuned,Not tagged
70B3D5ADCFF26B12,Montana,Tuned,Not tagged
70B3D5ADCFFE4F0C,Montana,Tuned,Not tagged
70B3D5ADCFF3ECC9,Montana,Tuned,Not tagged
70B3D5ADCFFADC35,Montana,Tuned,Not tagged
70B3D5ADCFF18721,Montana,Tuned,Not tagged
70B3D5ADCFFF1282,Montana,Tuned,Not tagged
70B3D5ADCFF7E668,Montana,Tuned,Not tagged
70B3D5ADCFFCED85,Montana,Tuned,Not tagged
70B3D5ADCFF33BB6,Montana,Tuned,Not tagged
70B3D5ADCFFC192A,Montana,Tuned,Not tagged
70B3D5ADCFF96486,Montana,Tuned,Not tagged
70B3D5ADCFF8721E,Montana,Tuned,Not tagged
70B3D5ADCFFA7335,Montana,Tuned,Not tagged
70B3D5ADCFF38868,Montana,Tuned,Not tagged
70B3D5ADCFF42D21,Montana,Tuned,Not tagged
70B3D5ADCFF8C17C,Montana,Tuned,Not tagged
70B3D5ADCFF0BFF8,Montana,Tuned,Not tagged
70B3D5ADCFFB207C,Montana,Tuned,Not tagged
70B3D5ADCFF85018,Montana,Tuned,Not tagged
70B3D5ADCFF42822,Montana,Tuned,Not tagged
70B3D5ADCFF2C7B0,Montana,Tuned,Not tagged
70B3D5ADCFFC291D,Montana,Tuned,Not tagged
70B3D5ADCFFA0DB4,Montana,Tuned,Not tagged
70B3D5ADCFF6374F,Montana,Tuned,Not tagged
70B3D5ADCFF58C2A,Montana,Tuned,Not tagged
70B3D5ADCFF5963B,Corinda,Untuned,Tagged
70B3D5ADCFF0394F,Corinda,Untuned,Tagged
70B3D5ADCFF06163,Corinda,Untuned,Tagged
70B3D5ADCFF58FDD,Corinda,Untuned,Tagged
70B3D5ADCFF370A4,Corinda,Untuned,Tagged
70B3D5ADCFF32188,Corinda,Untuned,Tagged
70B3D5ADCFF64360E,Corinda,Untuned,Tagged
70B3D5ADCFFECDF7,Corinda,Untuned,Tagged
70B3D5ADCFF05449,Corinda,Untuned,Tagged
70B3D5ADCFF01400,Corinda,Untuned,Tagged
70B3D5ADCFF02A95,Corinda,Untuned,Tagged
70B3D5ADCFF36D03,Corinda,Untuned,Tagged
70B3D5ADCFF7B8B2,Murray,Tuned,Not tagged
70B3D5ADCFFF5E52,Murray,Tuned,Not tagged
70B3D5ADCFFFD216,Murray,Tuned,Not tagged
70B3D5ADCFFF4AEB,Murray,Tuned,Not tagged
70B3D5ADCFF9DB50,Murray,Tuned,Not tagged
70B3D5ADCFFABEEC,Murray,Tuned,Not tagged
70B3D5ADCFF16797,Murray,Tuned,Not tagged
70B3D5ADCFFBB85C,Murray,Tuned,Not tagged
70B3D5ADCFFF7C97,Murray,Tuned,Not tagged
70B3D5ADCFF74A2E,Murray,Tuned,Not tagged
70B3D5ADCFFBBD13,Murray,Tuned,Not tagged
70B3D5ADCFF26395,Murray,Tuned,Not tagged
70B3D5ADCFFF6E97,Murray,Tuned,Not tagged
70B3D5ADCFFC8B7E,Murray,Tuned,Not tagged
70B3D5ADCFF1D7EE,Murray,Tuned,Not tagged
70B3D5ADCFF3873A,Murray,Tuned,Not tagged
70B3D5ADCFF64AF6,Murray,Tuned,Not tagged
70B3D5ADCFF2F7EF,Murray,Tuned,Not tagged
70B3D5ADCFFB9386,Murray,Tuned,Not tagged
70B3D5ADCFF78D4D,Murray,Tuned,Not tagged
70B3D5ADCFFDA079,Murray,Tuned,Not tagged
70B3D5ADCFFD9317,Pat Williams,Tuned,Tagged
70B3D5ADCFFB6969,Pat Williams,Tuned,Tagged
70B3D5ADCFF1E5BB,Pat Williams,Tuned,Tagged
70B3D5ADCFF4A90E,Pat Williams,Tuned,Tagged
70B3D5ADCFF0C679,Pat Williams,Tuned,Tagged
70B3D5ADCFF4C0BC,Pat Williams,Tuned,Tagged
70B3D5ADCFF3ACCD,Pat Williams,Tuned,Tagged
70B3D5ADCFF1D6C2,Pat Williams,Tuned,Tagged
70B3D5ADCFFC8C50,Pat Williams,Tuned,Tagged
70B3D5ADCFF56F1B,Pat Williams,Tuned,Tagged
